rank   rating    name
  212  0.223094  nextazio37
  213  0.222874  ElroNdForWin
  214  0.221894  VidTDM_XD
  215  0.221587  _Caleb_Water_
  216  0.220181  Ember_
  217  0.219766  Fyroah
  218  0.219748  ThomasFister
  219  0.218467  justairless
  220  0.215137  eSmiley
  221  0.213887  DarkRobo17
  222  0.213663  Julienuncool
  223  0.211256  QazVirus
  224  0.210746  BigCyrus
  225  0.210383  Mqrty
  226  0.209328  BrAstroo
  227  0.208587  Timitek
  228  0.208214  Snoae
  229  0.207063  _Craftmine
  230  0.205633  Klingac
  231  0.205223  wv44
  232  0.204594  HomeWear
  233  0.204559  julenb84
  234  0.204227  MorainCarium
  235  0.203722  Kaikoron
  236  0.202973  Spork10
  237  0.202022  Anthrox14
  238  0.201880  Blackfur
  239  0.201188  Samusel03
  240  0.201138  Purplers
  241  0.199835  JanniYapp
  242  0.199069  strxwberry__
  243  0.198565  FsGrayHat
  244  0.198324  PenguinZephyris
  245  0.197967  Charis162
  246  0.197340  BoatHub
  247  0.196716  CALIBRE12
  248  0.196408  silverrruns
  249  0.196104  stigmatica
  250  0.195049  CubedCanine
  251  0.193884  Toposauro
  252  0.192877  mika08king
  253  0.191593  catsuals
  254  0.191040  BritishBoi2581
  255  0.190893  w14x
  256  0.189973  GoogTown
  257  0.189742  HManDEV
  258  0.189706  _zero_zero_zero_
  259  0.189470  demonthekong
  260  0.188965  _BL4CKB1RD
  261  0.188068  CastleBricks20
  262  0.188012  Miifin
  263  0.187795  JonTheCopycat
  264  0.187178  SchmooliXS7
  265  0.186368  CataractGoonies
  266  0.185099  __R0gue__
  267  0.185037  HARRYPiZZA123
  268  0.184004  fwormp
  269  0.183940  Hugwill
  270  0.182593  AzureAqua
  271  0.181272  ItsOrbit_
  272  0.181219  yui_wii
  273  0.181174  kuorsaajazZZ
  274  0.180546  boxver
  275  0.180160  guyinblack091
  276  0.179454  AP_Pie
  277  0.178454  NoodleDada
  278  0.177381  Syterl
  279  0.177358  cyee
  280  0.176518  KnightlyFrog
  281  0.176396  Official_Javee
  282  0.175214  MateuszRP
  283  0.174336  Samugg06
  284  0.174167  Killerlol420
  285  0.173592  hethrr
  286  0.173378  To_Rex
  287  0.172260  Jamb0n83
  288  0.171826  TheDarkMotion
  289  0.171601  xX_MiniShrimp_Xx
  290  0.171548  TheFriendlyFoe
  291  0.171203  JoyBoyGearFive
  292  0.170490  Bagelz_
  293  0.170125  eXCeeD___
  294  0.169756  Blue_Diamond6316
  295  0.169638  NUKll
  296  0.169206  Logiks362
  297  0.168560  mruczyslav
  298  0.168454  _Takoo
  299  0.167685  logg8
  300  0.167492  Roma4ka_
  301  0.167343  5naIl_
  302  0.166786  Bafy78
  303  0.166700  NielsHorgerson
  304  0.166184  VroseVazula
  305  0.165998  chocolatemine7
  306  0.165305  Lollipopel3000
  307  0.164484  Jazzy_Chicken
  308  0.163855  blobfish42
  309  0.163843  Akiekt
