rank   rating    name
  215  0.197646  Big_Boi_Philip
  216  0.197644  Irongo
  217  0.197616  4x3x2
  218  0.197136  wingsoffire27
  219  0.196730  G3HA
  220  0.196672  VorjekS
  221  0.193402  Snowy893
  222  0.190736  BannanaMan78
  223  0.186912  Salteora
  224  0.186784  Ombaba68
  225  0.186543  Eallyos
  226  0.186074  the_Martjoker
  227  0.184313  Artin0123
  228  0.184275  Zenith1207
  229  0.183579  Klingac
  230  0.183385  Moosha
  231  0.183191  FuzyGamer0821
  232  0.182319  E_ple
  233  0.181510  Killerwarriorboy
  234  0.180505  Pana_64
  235  0.180257  TheFlamingSword
  236  0.179924  ikonos33
  237  0.179330  samuraii_
  238  0.178336  geralddddddd
  239  0.177744  WaterproofTurtle
  240  0.177118  ThiccTom25
  241  0.176054  EASTFAST
  242  0.175544  Herag0n
  243  0.175370  Lost_guppy
  244  0.174359  ninlego
  245  0.173685  Yashi18
  246  0.173139  SHeep003
  247  0.173119  MiniMCC
  248  0.172233  Tircis
  249  0.171809  Candynium
  250  0.171773  Kermitt__
  251  0.171325  od_racir
  252  0.170748  2_Soon_
  253  0.170396  Barnesy12
  254  0.169860  Phantonormia
  255  0.169788  Prqwn
  256  0.169592  Totomas15
  257  0.169590  flusson
  258  0.169110  A_Tomy_121
  259  0.168595  tari_cat
  260  0.168329  Iced_bread
  261  0.168300  mgWTF
  262  0.168098  TetrisNerd
  263  0.167520  Mikyu__
  264  0.167438  L9D
  265  0.166460  Wheatley5555
  266  0.166327  CleanupFungus
  267  0.166268  NoOne_NoBody
  268  0.166190  GamingAgent_07
  269  0.165816  Ants_Kings
  270  0.165392  Kerbalcat14
  271  0.165112  Fuzzycuffsqt
  272  0.164347  ZuiLiu_aaaaab
  273  0.164307  MB_Cube
  274  0.163882  CubedCanine
  275  0.163868  ifctmzzz
  276  0.163694  Noah8002
  277  0.163692  Dinoob
  278  0.162836  Mikos28
  279  0.162613  KnowerMeh
  280  0.161199  Esteban_Ocon
  281  0.160845  Oarin
  282  0.160095  GregMasterFlash
  283  0.159992  Noobie2be222
  284  0.159806  cqttie
  285  0.158526  dolphinman_rl
  286  0.158478  Whaloon
  287  0.158162  MrHappyGamesMC
  288  0.156899  _Coolskeleton_
  289  0.156580  Mart0034
  290  0.156564  GaldinMedichi
  291  0.155492  Logical_Leo
  292  0.155410  Yesig
  293  0.155389  Chef_Zuul
  294  0.154846  StefixO1
  295  0.153581  JohnnyHT
  296  0.153383  ShefiTheCat
  297  0.153088  Greninjablade
  298  0.152869  Daainosaur
  299  0.152229  Michael2_3B
  300  0.152227  circuit_what
  301  0.152051  CutieSad
  302  0.151848  Poission666
  303  0.151695  DauntedSoda
  304  0.151635  Sabotage426
  305  0.151627  _Waffel
  306  0.151241  reisgbrl
  307  0.151021  sheepmxn
  308  0.150998  BoatCam
  309  0.150984  Pitagoraaa
  310  0.150760  tophatbc
